filename,class
2023_05_20_22_59_06.472890 n.png,0
2023_05_19_21_35_24.547632 space.png,1
2023_05_19_19_03_04.944699 n.png,0
2023_05_20_22_57_33.793166 n.png,0
2023_05_19_21_37_49.426854 space.png,1
2023_05_19_21_35_55.140556 n.png,0
2023_05_19_21_35_13.587075 n.png,0
2023_05_19_21_36_48.996486 space.png,1
2023_05_19_21_36_49.825062 n.png,0
2023_05_20_23_01_16.266621 n.png,0
2023_05_19_21_36_28.813900 n.png,0
2023_05_19_21_33_07.334667 n.png,0
2023_05_19_21_34_10.534116 n.png,0
2023_05_19_21_34_18.130754 n.png,0
2023_05_20_22_59_40.355510 n.png,0
2023_05_19_21_34_43.711914 n.png,0
2023_05_20_22_59_07.815078 n.png,0
2023_05_20_23_01_24.229023 n.png,0
2023_05_20_23_01_01.766866 space.png,1
2023_05_19_21_37_01.061835 n.png,0
2023_05_20_23_01_10.282662 n.png,0
2023_05_19_21_37_30.203302 space.png,1
2023_05_19_19_04_57.615021 n.png,0
2023_05_19_21_37_22.307220 n.png,0
2023_05_19_21_35_56.171360 space.png,1
2023_05_19_21_36_52.954100 n.png,0
2023_05_19_21_34_08.331439 n.png,0
2023_05_19_19_05_09.467605 n.png,0
2023_05_19_21_34_09.029666 n.png,0
2023_05_19_19_05_08.848472 n.png,0
2023_05_19_21_33_58.817691 n.png,0
2023_05_19_19_05_11.035752 n.png,0
2023_05_19_21_32_53.361952 n.png,0
2023_05_19_21_34_20.266832 n.png,0
2023_05_19_21_32_59.629951 n.png,0
2023_05_20_22_57_05.724709 n.png,0
2023_05_19_21_34_07.772533 space.png,1
2023_05_19_19_03_13.386873 n.png,0
2023_05_19_21_33_02.749052 n.png,0
2023_05_19_21_37_37.887827 n.png,0
2023_05_19_21_36_54.796648 n.png,0
2023_05_19_21_36_44.354658 n.png,0
2023_05_19_21_36_35.045903 space.png,1
2023_05_19_21_34_57.297511 n.png,0
2023_05_20_22_59_45.190676 n.png,0
2023_05_19_19_05_01.067520 n.png,0
2023_05_19_21_37_41.706649 space.png,1
2023_05_20_23_01_19.997404 space.png,1
2023_05_19_21_35_14.935719 n.png,0
2023_05_19_21_37_48.602122 n.png,0
2023_05_19_19_03_03.204480 n.png,0
2023_05_19_21_34_21.312932 n.png,0
2023_05_19_21_36_51.768810 n.png,0
2023_05_19_21_37_00.366859 n.png,0
2023_05_20_22_59_07.538974 n.png,0
2023_05_20_23_01_05.038909 n.png,0
2023_05_20_23_01_05.404867 space.png,1
